Update, Score
10000,102.1
20000,256.7
30000,288.2
40000,164.7
50000,194.2
60000,161.2
70000,328.0
80000,298.8
90000,273.7
100000,293.1
110000,247.9
120000,360.4
130000,287.7
140000,388.2
150000,370.1
160000,416.2
170000,323.9
180000,446.0
190000,403.3
200000,302.7
210000,451.5
220000,322.4
230000,389.6
240000,337.7
250000,479.3
260000,391.1
270000,452.6
280000,467.6
290000,472.1
300000,500.4
310000,387.6
320000,359.5
330000,444.0
340000,516.8
350000,484.5
360000,481.2
370000,412.7
380000,389.5
390000,329.3
400000,361.7
410000,458.0
420000,395.3
430000,330.9
440000,383.3
450000,489.6
460000,497.0
470000,497.7
480000,434.2
490000,410.4
500000,391.8
510000,412.7
520000,430.2
530000,389.7
540000,382.1
550000,470.6
560000,565.0
570000,478.6
580000,473.7
590000,492.3
600000,425.3
610000,397.4
620000,528.4
630000,423.8
640000,459.1
650000,440.1
660000,532.0
670000,382.6
680000,463.1
690000,501.2
700000,453.3
710000,378.5
720000,515.4
730000,462.1
740000,531.2
750000,395.9
760000,488.4
770000,424.2
780000,579.6
790000,520.2
800000,483.5
810000,524.3
820000,479.7
830000,518.3
840000,520.3
850000,517.5
860000,479.8
870000,410.7
880000,461.9
890000,539.8
900000,461.0
910000,449.6
920000,487.0
930000,509.2
940000,555.5
950000,556.4
960000,551.3
970000,514.4
980000,461.2
990000,473.1
1000000,467.5
