Update, Score
10000,187.3
20000,234.9
30000,101.6
40000,93.8
50000,216.8
60000,139.2
70000,223.6
80000,294.4
90000,280.4
100000,328.6
110000,349.9
120000,290.1
130000,374.0
140000,243.7
150000,378.5
160000,333.6
170000,444.5
180000,411.5
190000,414.9
200000,458.1
210000,436.4
220000,424.3
230000,475.5
240000,518.1
250000,490.7
260000,481.0
270000,435.3
280000,476.0
290000,437.0
300000,469.7
310000,508.7
320000,477.6
330000,496.9
340000,520.5
350000,514.2
360000,493.8
370000,502.0
380000,514.7
390000,527.9
400000,509.2
410000,530.0
420000,525.4
430000,493.7
440000,557.8
450000,476.5
460000,529.6
470000,558.8
480000,482.8
490000,485.9
500000,574.1
510000,595.1
520000,482.0
530000,495.7
540000,541.8
550000,562.7
560000,460.8
570000,568.7
580000,542.7
590000,557.0
600000,581.9
610000,505.9
620000,432.2
630000,490.9
640000,457.7
650000,438.4
660000,519.6
670000,513.4
680000,538.3
690000,514.3
700000,533.9
710000,542.7
720000,513.0
730000,500.7
740000,475.4
750000,555.0
760000,511.9
770000,545.1
780000,544.8
790000,512.2
800000,519.0
810000,491.7
820000,527.3
830000,494.8
840000,571.9
850000,478.5
860000,534.2
870000,560.5
880000,545.1
890000,550.5
900000,560.4
910000,566.4
920000,456.9
930000,505.7
940000,567.8
950000,548.7
960000,537.2
970000,538.3
980000,534.4
990000,540.7
1000000,534.8
