nr, Score
1,770.0
2,505.0
3,555.0
4,555.0
5,530.0
6,575.0
7,555.0
8,485.0
9,465.0
10,375.0
11,485.0
12,280.0
13,530.0
14,320.0
15,540.0
16,570.0
17,570.0
18,480.0
19,500.0
20,480.0
21,420.0
22,360.0
23,515.0
24,435.0
25,605.0
26,360.0
27,495.0
28,395.0
29,525.0
30,605.0
31,665.0
32,500.0
33,515.0
34,335.0
35,305.0
36,490.0
37,395.0
38,575.0
39,410.0
40,330.0
41,370.0
42,555.0
43,630.0
44,520.0
45,605.0
46,385.0
47,360.0
48,425.0
49,565.0
50,575.0
51,670.0
52,775.0
53,635.0
54,815.0
55,460.0
56,555.0
57,500.0
58,375.0
59,595.0
60,505.0
61,460.0
62,530.0
63,370.0
64,330.0
65,520.0
66,450.0
67,575.0
68,370.0
69,505.0
70,590.0
71,630.0
72,560.0
73,605.0
74,330.0
75,435.0
76,650.0
77,410.0
78,405.0
79,445.0
80,490.0
81,455.0
82,360.0
83,545.0
84,390.0
85,575.0
86,445.0
87,500.0
88,370.0
89,545.0
90,475.0
91,440.0
92,540.0
93,515.0
94,545.0
95,550.0
96,580.0
97,525.0
98,545.0
99,570.0
100,525.0
101,440.0
102,370.0
103,600.0
104,425.0
105,565.0
106,440.0
107,525.0
108,280.0
109,455.0
110,555.0
111,565.0
112,405.0
113,290.0
114,320.0
115,360.0
116,425.0
117,360.0
118,555.0
119,470.0
120,435.0
121,425.0
122,370.0
123,365.0
124,375.0
125,600.0
126,370.0
127,545.0
128,445.0
129,465.0
130,370.0
131,420.0
132,510.0
133,445.0
134,600.0
135,640.0
136,395.0
137,320.0
138,370.0
139,480.0
140,570.0
141,205.0
142,750.0
143,580.0
144,370.0
145,500.0
146,520.0
147,710.0
148,310.0
149,635.0
150,600.0
151,470.0
152,435.0
153,665.0
154,375.0
155,385.0
156,500.0
157,555.0
158,465.0
159,495.0
160,360.0
161,575.0
162,370.0
163,255.0
164,525.0
165,555.0
166,365.0
167,435.0
168,385.0
169,580.0
170,570.0
171,610.0
172,640.0
173,455.0
174,485.0
175,600.0
176,500.0
177,325.0
178,555.0
179,515.0
180,445.0
181,600.0
182,375.0
183,460.0
184,535.0
185,370.0
186,530.0
187,470.0
188,370.0
189,575.0
190,515.0
191,375.0
192,480.0
193,370.0
194,320.0
195,540.0
196,575.0
197,630.0
198,290.0
199,455.0
200,550.0
201,530.0
202,485.0
203,435.0
204,600.0
205,285.0
206,470.0
207,360.0
208,510.0
209,460.0
210,485.0
211,510.0
212,490.0
213,480.0
214,375.0
215,605.0
216,385.0
217,495.0
218,450.0
219,485.0
220,745.0
221,375.0
222,485.0
223,600.0
224,490.0
225,600.0
226,470.0
227,745.0
228,360.0
229,360.0
230,575.0
231,520.0
232,465.0
233,575.0
234,505.0
235,600.0
236,505.0
237,805.0
238,550.0
239,545.0
240,580.0
241,470.0
242,360.0
243,600.0
244,505.0
245,450.0
246,525.0
247,600.0
248,320.0
249,205.0
250,505.0
251,345.0
252,375.0
253,335.0
254,360.0
255,550.0
256,470.0
257,435.0
258,475.0
259,520.0
260,370.0
261,575.0
262,605.0
263,570.0
264,530.0
265,515.0
266,835.0
267,580.0
268,500.0
269,480.0
270,635.0
271,610.0
272,490.0
273,595.0
274,600.0
275,535.0
276,400.0
277,510.0
278,375.0
279,605.0
280,500.0
281,370.0
282,415.0
283,495.0
284,360.0
285,395.0
286,525.0
287,515.0
288,460.0
289,580.0
290,600.0
291,495.0
292,445.0
293,635.0
294,375.0
295,480.0
296,535.0
297,360.0
298,615.0
299,520.0
300,490.0
301,460.0
302,765.0
303,600.0
304,360.0
305,575.0
306,550.0
307,490.0
308,450.0
309,605.0
310,555.0
311,360.0
312,790.0
313,360.0
314,555.0
315,415.0
316,630.0
317,510.0
318,460.0
319,575.0
320,525.0
321,610.0
322,480.0
323,600.0
324,835.0
325,550.0
326,1070.0
327,575.0
328,450.0
329,480.0
330,500.0
331,605.0
332,545.0
333,205.0
334,585.0
335,500.0
336,570.0
337,360.0
338,360.0
339,475.0
340,455.0
341,420.0
342,320.0
343,580.0
344,515.0
345,520.0
346,665.0
347,685.0
348,665.0
349,445.0
350,490.0
351,360.0
352,570.0
353,600.0
354,535.0
355,485.0
356,435.0
357,360.0
358,400.0
