nr, Score
1,475.0
2,600.0
3,565.0
4,565.0
5,680.0
6,725.0
7,410.0
8,555.0
9,585.0
10,525.0
11,630.0
12,255.0
13,600.0
14,210.0
15,605.0
16,235.0
17,305.0
18,575.0
19,540.0
20,605.0
21,465.0
22,680.0
23,310.0
24,545.0
25,635.0
26,605.0
27,540.0
28,245.0
29,770.0
30,555.0
31,600.0
32,515.0
33,490.0
34,580.0
35,125.0
36,630.0
37,570.0
38,695.0
39,570.0
40,370.0
41,735.0
42,390.0
43,520.0
44,295.0
45,715.0
46,605.0
47,400.0
48,550.0
49,605.0
50,575.0
51,970.0
52,360.0
53,605.0
54,600.0
55,460.0
56,520.0
57,570.0
58,830.0
59,475.0
60,300.0
61,585.0
62,800.0
63,610.0
64,585.0
65,365.0
66,225.0
67,545.0
68,525.0
69,770.0
70,600.0
71,245.0
72,520.0
73,395.0
74,470.0
75,635.0
76,600.0
77,765.0
78,495.0
79,445.0
80,605.0
81,550.0
82,200.0
83,545.0
84,325.0
85,420.0
86,555.0
87,600.0
88,320.0
89,465.0
90,545.0
91,490.0
92,635.0
93,295.0
94,810.0
95,335.0
96,570.0
97,695.0
98,580.0
99,395.0
100,600.0
101,805.0
102,600.0
103,385.0
104,260.0
105,140.0
106,390.0
107,605.0
108,600.0
109,550.0
110,215.0
111,430.0
112,585.0
113,390.0
114,600.0
115,450.0
116,600.0
117,605.0
118,200.0
119,195.0
120,480.0
121,430.0
122,495.0
123,500.0
124,680.0
125,605.0
126,585.0
127,600.0
128,745.0
129,255.0
130,490.0
131,525.0
132,555.0
133,480.0
134,240.0
135,420.0
136,520.0
137,800.0
138,770.0
139,200.0
140,555.0
141,480.0
142,385.0
143,600.0
144,845.0
145,600.0
146,305.0
147,260.0
148,395.0
149,125.0
150,635.0
151,200.0
152,810.0
153,410.0
154,775.0
155,200.0
156,405.0
157,390.0
158,585.0
159,600.0
160,495.0
161,550.0
162,540.0
163,480.0
164,570.0
165,605.0
166,460.0
167,630.0
168,505.0
169,200.0
170,495.0
171,550.0
172,545.0
173,605.0
174,395.0
175,610.0
176,770.0
177,465.0
178,600.0
179,470.0
180,430.0
181,450.0
182,200.0
183,450.0
184,570.0
185,770.0
186,570.0
187,480.0
188,600.0
