nr, Score
1,1055.0
2,450.0
3,285.0
4,455.0
5,435.0
6,510.0
7,835.0
8,285.0
9,605.0
10,500.0
11,770.0
12,600.0
13,630.0
14,590.0
15,615.0
16,630.0
17,485.0
18,635.0
19,335.0
20,320.0
21,685.0
22,435.0
23,440.0
24,285.0
25,315.0
26,575.0
27,585.0
28,500.0
29,960.0
30,435.0
31,600.0
32,630.0
33,150.0
34,600.0
35,575.0
36,630.0
37,315.0
38,740.0
39,630.0
40,420.0
41,550.0
42,530.0
43,745.0
44,420.0
45,395.0
46,525.0
47,600.0
48,450.0
49,610.0
50,475.0
51,1085.0
52,555.0
53,800.0
54,420.0
55,640.0
56,600.0
57,870.0
58,320.0
59,470.0
60,425.0
61,870.0
62,315.0
63,585.0
64,565.0
65,285.0
66,420.0
67,315.0
68,560.0
69,475.0
70,550.0
71,285.0
72,755.0
73,600.0
74,540.0
75,420.0
76,555.0
77,870.0
78,795.0
79,600.0
80,605.0
81,315.0
82,505.0
83,570.0
84,750.0
85,570.0
86,465.0
87,570.0
88,600.0
89,450.0
90,745.0
91,605.0
92,440.0
93,515.0
94,630.0
95,545.0
96,565.0
97,450.0
98,420.0
99,330.0
100,420.0
101,315.0
102,610.0
103,285.0
104,350.0
105,500.0
106,370.0
107,545.0
108,205.0
109,450.0
110,345.0
111,210.0
112,335.0
113,210.0
114,600.0
115,315.0
116,665.0
117,475.0
118,600.0
119,545.0
120,590.0
121,475.0
122,605.0
123,560.0
124,575.0
125,470.0
126,485.0
127,600.0
128,450.0
129,285.0
130,615.0
131,545.0
132,605.0
133,455.0
134,605.0
135,435.0
136,880.0
137,635.0
138,515.0
139,420.0
140,470.0
141,780.0
142,450.0
143,445.0
144,590.0
145,320.0
146,450.0
147,475.0
148,440.0
149,330.0
150,600.0
151,645.0
152,485.0
153,315.0
154,585.0
155,475.0
156,530.0
157,255.0
158,315.0
159,530.0
160,910.0
161,605.0
162,620.0
163,285.0
164,860.0
165,575.0
166,580.0
167,230.0
168,440.0
169,745.0
170,150.0
171,630.0
172,210.0
173,545.0
174,470.0
175,585.0
176,150.0
177,760.0
178,580.0
179,575.0
180,525.0
181,345.0
182,425.0
183,420.0
184,890.0
185,600.0
186,510.0
187,550.0
188,1070.0
189,740.0
190,600.0
191,475.0
192,390.0
193,855.0
194,850.0
195,450.0
196,210.0
197,555.0
198,585.0
199,465.0
200,575.0
201,335.0
202,600.0
203,570.0
204,285.0
205,465.0
206,590.0
207,345.0
208,465.0
209,740.0
210,770.0
211,740.0
212,210.0
213,420.0
214,600.0
215,575.0
216,825.0
217,630.0
218,260.0
219,420.0
220,515.0
221,575.0
222,495.0
223,485.0
224,605.0
225,475.0
226,600.0
227,485.0
228,585.0
229,600.0
