A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
/var/scratch/tbt204/TransferLearning/checkpoints/['DemonAttack', 'SpaceInvaders']/SpaceInvaders-v5/2024-03-23T16-24-52
Average reward over 50 games: 187.3
Average reward over 50 games: 234.9
Average reward over 50 games: 101.6
Average reward over 50 games: 93.8
Average reward over 50 games: 216.8
Average reward over 50 games: 139.2
Average reward over 50 games: 223.6
Average reward over 50 games: 294.4
Average reward over 50 games: 280.4
Average reward over 50 games: 328.6
Average reward over 50 games: 349.9
Average reward over 50 games: 290.1
Average reward over 50 games: 374.0
Average reward over 50 games: 243.7
Average reward over 50 games: 378.5
Average reward over 50 games: 333.6
Average reward over 50 games: 444.5
Average reward over 50 games: 411.5
Average reward over 50 games: 414.9
Average reward over 50 games: 458.1
Average reward over 50 games: 436.4
Average reward over 50 games: 424.3
Average reward over 50 games: 475.5
Average reward over 50 games: 518.1
Average reward over 50 games: 490.7
Average reward over 50 games: 481.0
Average reward over 50 games: 435.3
Average reward over 50 games: 476.0
Average reward over 50 games: 437.0
Average reward over 50 games: 469.7
Average reward over 50 games: 508.7
Average reward over 50 games: 477.6
Average reward over 50 games: 496.9
Average reward over 50 games: 520.5
Average reward over 50 games: 514.2
Average reward over 50 games: 493.8
Average reward over 50 games: 502.0
Average reward over 50 games: 514.7
Average reward over 50 games: 527.9
Average reward over 50 games: 509.2
Average reward over 50 games: 530.0
Average reward over 50 games: 525.4
Average reward over 50 games: 493.7
Average reward over 50 games: 557.8
Average reward over 50 games: 476.5
Average reward over 50 games: 529.6
Average reward over 50 games: 558.8
Average reward over 50 games: 482.8
Average reward over 50 games: 485.9
Average reward over 50 games: 574.1
Average reward over 50 games: 595.1
Average reward over 50 games: 482.0
Average reward over 50 games: 495.7
Average reward over 50 games: 541.8
Average reward over 50 games: 562.7
Average reward over 50 games: 460.8
Average reward over 50 games: 568.7
Average reward over 50 games: 542.7
Average reward over 50 games: 557.0
Average reward over 50 games: 581.9
Average reward over 50 games: 505.9
Average reward over 50 games: 432.2
Average reward over 50 games: 490.9
Average reward over 50 games: 457.7
Average reward over 50 games: 438.4
Average reward over 50 games: 519.6
Average reward over 50 games: 513.4
Average reward over 50 games: 538.3
Average reward over 50 games: 514.3
Average reward over 50 games: 533.9
Average reward over 50 games: 542.7
Average reward over 50 games: 513.0
Average reward over 50 games: 500.7
Average reward over 50 games: 475.4
Average reward over 50 games: 555.0
Average reward over 50 games: 511.9
Average reward over 50 games: 545.1
Average reward over 50 games: 544.8
Average reward over 50 games: 512.2
Average reward over 50 games: 519.0
Average reward over 50 games: 491.7
Average reward over 50 games: 527.3
Average reward over 50 games: 494.8
Average reward over 50 games: 571.9
Average reward over 50 games: 478.5
Average reward over 50 games: 534.2
Average reward over 50 games: 560.5
Average reward over 50 games: 545.1
Average reward over 50 games: 550.5
Average reward over 50 games: 560.4
Average reward over 50 games: 566.4
Average reward over 50 games: 456.9
Average reward over 50 games: 505.7
Average reward over 50 games: 567.8
Average reward over 50 games: 548.7
Average reward over 50 games: 537.2
Average reward over 50 games: 538.3
Average reward over 50 games: 534.4
Average reward over 50 games: 540.7
Average reward over 50 games: 534.8
/var/scratch/tbt204/TransferLearning/checkpoints/['Carnival', 'SpaceInvaders']/SpaceInvaders-v5/2024-03-24T15-25-32
Average reward over 50 games: 448.7
Average reward over 50 games: 247.3
Average reward over 50 games: 362.2
Average reward over 50 games: 348.3
Average reward over 50 games: 333.9
Average reward over 50 games: 162.1
Average reward over 50 games: 246.3
Average reward over 50 games: 287.0
Average reward over 50 games: 289.4
Average reward over 50 games: 141.5
Average reward over 50 games: 373.0
Average reward over 50 games: 335.1
Average reward over 50 games: 333.4
Average reward over 50 games: 414.9
Average reward over 50 games: 418.2
Average reward over 50 games: 297.0
Average reward over 50 games: 188.2
Average reward over 50 games: 346.8
Average reward over 50 games: 262.4
Average reward over 50 games: 349.0
Average reward over 50 games: 408.1
Average reward over 50 games: 392.3
Average reward over 50 games: 339.1
Average reward over 50 games: 194.1
Average reward over 50 games: 182.3
Average reward over 50 games: 305.7
Average reward over 50 games: 385.2
Average reward over 50 games: 368.0
Average reward over 50 games: 346.6
Average reward over 50 games: 383.4
Average reward over 50 games: 370.4
Average reward over 50 games: 251.8
Average reward over 50 games: 316.7
Average reward over 50 games: 323.1
Average reward over 50 games: 410.9
Average reward over 50 games: 426.2
Average reward over 50 games: 343.5
Average reward over 50 games: 350.9
Average reward over 50 games: 377.1
Average reward over 50 games: 283.7
Average reward over 50 games: 354.9
Average reward over 50 games: 387.7
Average reward over 50 games: 362.1
Average reward over 50 games: 415.0
Average reward over 50 games: 377.3
Average reward over 50 games: 323.1
Average reward over 50 games: 497.9
Average reward over 50 games: 448.7
Average reward over 50 games: 367.5
Average reward over 50 games: 450.2
Average reward over 50 games: 499.5
Average reward over 50 games: 496.4
Average reward over 50 games: 422.0
Average reward over 50 games: 419.8
Average reward over 50 games: 478.4
Average reward over 50 games: 482.8
Average reward over 50 games: 363.7
Average reward over 50 games: 486.3
Average reward over 50 games: 480.9
Average reward over 50 games: 418.3
Average reward over 50 games: 409.9
Average reward over 50 games: 373.7
Average reward over 50 games: 473.9
Average reward over 50 games: 379.7
Average reward over 50 games: 467.8
Average reward over 50 games: 432.9
Average reward over 50 games: 410.4
Average reward over 50 games: 511.9
Average reward over 50 games: 453.4
Average reward over 50 games: 515.3
Average reward over 50 games: 496.2
Average reward over 50 games: 474.8
Average reward over 50 games: 494.3
Average reward over 50 games: 505.0
Average reward over 50 games: 448.1
Average reward over 50 games: 548.6
Average reward over 50 games: 511.0
Average reward over 50 games: 487.4
Average reward over 50 games: 481.3
Average reward over 50 games: 549.0
Average reward over 50 games: 530.4
Average reward over 50 games: 485.1
Average reward over 50 games: 473.1
Average reward over 50 games: 478.8
Average reward over 50 games: 512.7
Average reward over 50 games: 511.9
Average reward over 50 games: 482.0
Average reward over 50 games: 493.9
Average reward over 50 games: 411.0
Average reward over 50 games: 479.7
Average reward over 50 games: 462.1
Average reward over 50 games: 495.3
Average reward over 50 games: 474.6
Average reward over 50 games: 532.7
Average reward over 50 games: 469.0
Average reward over 50 games: 513.3
Average reward over 50 games: 510.3
Average reward over 50 games: 547.7
Average reward over 50 games: 557.1
Average reward over 50 games: 525.8
/var/scratch/tbt204/TransferLearning/checkpoints/['AirRaid', 'SpaceInvaders']/SpaceInvaders-v5/2024-03-24T04-02-26
Average reward over 50 games: 102.1
Average reward over 50 games: 256.7
Average reward over 50 games: 288.2
Average reward over 50 games: 164.7
Average reward over 50 games: 194.2
Average reward over 50 games: 161.2
Average reward over 50 games: 328.0
Average reward over 50 games: 298.8
Average reward over 50 games: 273.7
Average reward over 50 games: 293.1
Average reward over 50 games: 247.9
Average reward over 50 games: 360.4
Average reward over 50 games: 287.7
Average reward over 50 games: 388.2
Average reward over 50 games: 370.1
Average reward over 50 games: 416.2
Average reward over 50 games: 323.9
Average reward over 50 games: 446.0
Average reward over 50 games: 403.3
Average reward over 50 games: 302.7
Average reward over 50 games: 451.5
Average reward over 50 games: 322.4
Average reward over 50 games: 389.6
Average reward over 50 games: 337.7
Average reward over 50 games: 479.3
Average reward over 50 games: 391.1
Average reward over 50 games: 452.6
Average reward over 50 games: 467.6
Average reward over 50 games: 472.1
Average reward over 50 games: 500.4
Average reward over 50 games: 387.6
Average reward over 50 games: 359.5
Average reward over 50 games: 444.0
Average reward over 50 games: 516.8
Average reward over 50 games: 484.5
Average reward over 50 games: 481.2
Average reward over 50 games: 412.7
Average reward over 50 games: 389.5
Average reward over 50 games: 329.3
Average reward over 50 games: 361.7
Average reward over 50 games: 458.0
Average reward over 50 games: 395.3
Average reward over 50 games: 330.9
Average reward over 50 games: 383.3
Average reward over 50 games: 489.6
Average reward over 50 games: 497.0
Average reward over 50 games: 497.7
Average reward over 50 games: 434.2
Average reward over 50 games: 410.4
Average reward over 50 games: 391.8
Average reward over 50 games: 412.7
Average reward over 50 games: 430.2
Average reward over 50 games: 389.7
Average reward over 50 games: 382.1
Average reward over 50 games: 470.6
Average reward over 50 games: 565.0
Average reward over 50 games: 478.6
Average reward over 50 games: 473.7
Average reward over 50 games: 492.3
Average reward over 50 games: 425.3
Average reward over 50 games: 397.4
Average reward over 50 games: 528.4
Average reward over 50 games: 423.8
Average reward over 50 games: 459.1
Average reward over 50 games: 440.1
Average reward over 50 games: 532.0
Average reward over 50 games: 382.6
Average reward over 50 games: 463.1
Average reward over 50 games: 501.2
Average reward over 50 games: 453.3
Average reward over 50 games: 378.5
Average reward over 50 games: 515.4
Average reward over 50 games: 462.1
Average reward over 50 games: 531.2
Average reward over 50 games: 395.9
Average reward over 50 games: 488.4
Average reward over 50 games: 424.2
Average reward over 50 games: 579.6
Average reward over 50 games: 520.2
Average reward over 50 games: 483.5
Average reward over 50 games: 524.3
Average reward over 50 games: 479.7
Average reward over 50 games: 518.3
Average reward over 50 games: 520.3
Average reward over 50 games: 517.5
Average reward over 50 games: 479.8
Average reward over 50 games: 410.7
Average reward over 50 games: 461.9
Average reward over 50 games: 539.8
Average reward over 50 games: 461.0
Average reward over 50 games: 449.6
Average reward over 50 games: 487.0
Average reward over 50 games: 509.2
Average reward over 50 games: 555.5
Average reward over 50 games: 556.4
Average reward over 50 games: 551.3
Average reward over 50 games: 514.4
Average reward over 50 games: 461.2
Average reward over 50 games: 473.1
Average reward over 50 games: 467.5
